test_size,,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7
name,,KNN-1,KNN-3,SVM-poly3,SVM-rbf,KNN-1,KNN-3,SVM-poly3,SVM-rbf,KNN-1,KNN-3,SVM-poly3,SVM-rbf
BA,mean,0.489110438435009,0.4851725515835124,0.5113696251650783,0.5031830595350518,0.4848306710298476,0.4767807497428165,0.5293376045746445,0.5020879562058381,0.4846891711314069,0.47738770081347964,0.4667701434573905,0.47928320851007894
BA,std,0.03819902479603154,0.05670684451443121,0.06834728182375215,0.1123274325015332,0.01885354200322162,0.020015123203045215,0.072230665453214,0.08970382012094927,0.0622825122890537,0.05819726047576072,0.04973774132459745,0.0919616778942207
TN,mean,1442.4,1443.0,1306.0,1138.6,2319.6,2299.8,2876.2,2252.2,3449.4,3411.2,3455.6,3130.2
TN,std,50.11287259776673,42.267008410816096,237.74776549948896,667.3603224645589,95.73818464959528,115.6511997343737,780.5195064827016,1185.6427370839833,121.96433905039616,197.36185041694355,148.00608095615536,1383.72746594118
FP,mean,1506.2,1505.6,1642.6,1810.0,2592.8,2612.6,2036.2,2660.2,3424.0,3462.2,3417.8,3743.2
FP,std,46.51021393199563,38.64324002979045,240.0422879411042,667.5601096530559,91.56800751354157,115.55215272767529,777.5568789484149,1183.551097333782,119.46338351143416,193.21801158277145,150.4450065638604,1380.7844509553256
FN,mean,26.0,26.4,21.6,19.4,44.0,45.0,45.8,39.4,67.8,68.8,72.4,62.8
FN,std,2.738612787525831,4.878524367060187,5.458937625582473,10.502380682492898,4.358898943540674,4.636809247747852,16.589153082662175,21.83575050232989,16.93221781102523,14.481022063376605,16.14930339054908,13.881642554107206
TP,mean,25.4,25.0,29.8,32.0,43.6,42.6,41.8,48.2,58.8,57.8,54.2,63.8
TP,std,6.268971207462992,7.44983221287567,5.805170109479997,11.40175425099138,4.8270073544588685,6.268971207462992,18.673510650116118,23.731835158706122,12.87245120402482,11.541230437002808,12.41772926102031,14.855975228843107

